100,Kalina,Sacken,479,496.65,5403.7,
101,Tobe,Lemuela,947,714.63,641.9,
102,Fanchon,Celestine,493,491.52,7650.2,
104,Starla,Thema,844,315.21,7669.1,
105,Elvira,Ehrman,833,694.79,3695.5,
106,Deane,Neils,523,360.92,8799.6,
108,Oona,Medrek,942,575.33,2356.4,
112,Marcy,Urania,615,861.18,9657.8,
113,Verla,Natica,526,589.59,1732.0,
117,Lelah,Iiette,539,544.5,6443.4,
118,Brana,Karylin,823,180.35,5483.0,
120,Elfreda,Lucienne,612,696.32,3592.9,
122,Myriam,Danby,936,440.76,6206.4,
124,Frieda,Fairweather,974,754.11,6224.0,
125,Cyndie,Briney,868,218.74,2988.2,
132,Calla,Emerson,998,176.06,1976.5,
137,Jacquetta,Blake,597,961.01,2623.4,
140,Eugine,Lewes,552,607.21,6384.0,
145,Gloria,Suzetta,653,568.82,8076.9,
146,Candi,Levey,924,595.68,6927.6,
148,Anthia,Joseph,628,572.68,3475.3,
149,Ernesta,Nahum,937,728.2,1597.2,
150,Malina,Eiser,546,98.24,3656.7,
152,Shandie,Huggins,580,203.89,5742.7,
153,Raina,Pascia,687,142.7,3855.7,
154,Hermione,Cornelia,423,987.69,256.3,
156,Olivette,Gualtiero,922,434.17,8680.4,
157,Sheree,Alexandr,459,844.16,1800.9,
158,Rosabelle,Cornelia,609,910.63,2033.9,
160,Evita,Carleen,724,645.44,43.2,
161,Chandra,Raul,994,590.17,9263.3,
162,Janey,Morgun,683,970.18,2742.3,
165,Corry,Argus,617,808.85,6256.3,
168,Fayre,Lewes,651,802.38,8861.4,
169,Anestassia,Meli,982,496.07,2438.7,
174,Anica,Talia,488,154.93,3132.2,
176,Roseline,Skell,851,269.52,4284.3,
177,Priscilla,Zuzana,691,28.19,5893.5,
178,Lorne,Pattin,790,901.47,7044.4,
181,Frank,Gwenore,454,15.59,8836.9,
184,Annaliese,Scammon,658,672.11,8645.0,
186,Mireielle,Greenwald,884,969.19,8717.6,
189,Abbie,Tippets,761,946.25,6870.5,
192,Linzy,Elephus,542,35.61,2507.3,
193,Trudie,Allare,859,925.48,7384.4,
194,Randa,Tyson,907,898.42,6062.8,
196,Silvana,Azeria,933,442.38,2392.5,
197,Eolanda,Alrich,707,497.57,7273.6,
198,Constance,Dichy,496,587.63,4782.4,
204,Viki,Stefa,600,795.87,5230.7,
205,Natka,Salvidor,614,869.78,3674.4,
206,Dagmar,Malina,601,12.64,4675.6,
214,Jacquetta,Jacinda,724,94.96,4318.7,
216,Shannah,Brandice,952,483.5,7391.0,
218,Sybille,Keily,905,844.05,1984.0,
222,Kerrin,Lacombe,950,850.31,4184.4,
224,Mildrid,Ade,910,751.6,5974.4,
229,Adelle,Wind,922,612.64,6914.0,
233,Florie,Honoria,684,80.08,8292.0,
234,Konstance,Harned,983,516.16,784.0,
236,Carlie,Lynn,519,76.29,9950.7,
237,Aigneis,Phaidra,939,801.51,8176.6,
238,Julieta,Hathaway,491,441.29,4375.2,
240,Farrah,Chinua,574,335.04,6513.6,
242,Gwenneth,Fosque,509,475.44,7179.7,
244,Blake,Brackely,827,22.25,2287.7,
246,Kary,Crudden,644,490.83,5447.4,
249,Debee,Edison,502,106.34,8840.0,
252,Stevana,Viddah,996,738.8,2211.1,
253,Anthia,Lanita,793,639.79,1441.2,
254,Vinita,Concha,737,454.55,5627.0,
257,Ezmeralda,Klemperer,589,201.42,6765.7,
258,Millie,Lindemann,557,968.91,3415.8,
260,Violet,Sparhawk,834,891.81,668.9,
261,Rani,Kathie,724,229.09,4594.5,
262,Netty,Ethban,453,335.76,4793.6,
265,Leona,Jaylene,957,470.24,9358.9,
266,Elsie,Nahum,503,374.33,9630.5,
268,Kylynn,Neva,802,330.2,148.7,
269,Karina,Rolf,931,189.87,2152.7,
270,Angelique,Othilia,844,874.52,1253.6,
272,Adore,Anestassia,627,63.59,4657.8,
274,Maye,Arvo,558,296.01,8041.1,
278,Cordi,Sigfrid,699,967.41,8530.4,
280,Karina,Mintz,935,467.58,395.4,
281,Lorne,Philipp,838,727.02,5688.3,
285,Jemie,Madox,518,186.5,4966.0,
